prefecture,year,entrants_from_prefecture,local_entrants,outbound_entrants,inbound_entrants,net_inflow,out_of_prefecture_rate
北海道,2025,21727,14256,7471,4692,-2779,0.343858
青森県,2025,4750,1883,2867,1318,-1549,0.603579
岩手県,2025,4463,1318,3145,1122,-2023,0.704683
宮城県,2025,10343,5699,4644,6044,1400,0.448999
秋田県,2025,3101,806,2295,1133,-1162,0.740084
山形県,2025,4092,944,3148,1970,-1178,0.769306
福島県,2025,7044,1440,5604,1570,-4034,0.795571
茨城県,2025,16800,2971,13829,3288,-10541,0.823155
栃木県,2025,8788,2280,6508,2515,-3993,0.740555
群馬県,2025,8867,3065,5802,2978,-2824,0.654336
埼玉県,2025,35900,10388,25512,16114,-9398,0.710641
千葉県,2025,31355,10918,20437,15325,-5112,0.651794
東京都,2025,79821,55740,24081,98818,74737,0.301688
神奈川県,2025,46003,18814,27189,27550,361,0.591027
新潟県,2025,9172,3774,5398,2974,-2424,0.58853
富山県,2025,4467,904,3563,1617,-1946,0.797627
石川県,2025,5861,2856,3005,3784,779,0.512711
福井県,2025,3971,1311,2660,1027,-1633,0.669856
山梨県,2025,5611,1185,4426,2835,-1591,0.788808
長野県,2025,9701,1899,7802,2232,-5570,0.804247
岐阜県,2025,9801,2190,7611,2448,-5163,0.776553
静岡県,2025,16929,4879,12050,2942,-9108,0.711796
愛知県,2025,39402,28555,10847,14685,3838,0.275291
三重県,2025,7875,1758,6117,1203,-4914,0.776762
滋賀県,2025,7194,1363,5831,5097,-734,0.810537
京都府,2025,16286,8899,7387,26204,18817,0.45358
大阪府,2025,46890,28746,18144,29123,10979,0.386948
兵庫県,2025,28774,13223,15551,12387,-3164,0.540453
奈良県,2025,7780,1176,6604,3193,-3411,0.848843
和歌山県,2025,4232,746,3486,1264,-2222,0.823724
鳥取県,2025,2348,354,1994,1256,-738,0.849233
島根県,2025,2865,547,2318,1156,-1162,0.809075
岡山県,2025,9760,4017,5743,4692,-1051,0.588422
広島県,2025,15166,7937,7229,5193,-2036,0.476658
山口県,2025,5161,1401,3760,3113,-647,0.728541
徳島県,2025,3083,1073,2010,1303,-707,0.651962
香川県,2025,4931,938,3993,1193,-2800,0.809775
愛媛県,2025,6332,2289,4043,1916,-2127,0.638503
高知県,2025,2954,823,2131,1493,-638,0.721395
福岡県,2025,23385,15417,7968,11178,3210,0.340731
佐賀県,2025,3606,598,3008,1189,-1819,0.834165
長崎県,2025,5232,1964,3268,1715,-1553,0.624618
熊本県,2025,7390,3556,3834,2326,-1508,0.518809
大分県,2025,4383,1223,3160,1860,-1300,0.720967
宮崎県,2025,4199,1146,3053,971,-2082,0.727078
鹿児島県,2025,6825,2147,4678,1406,-3272,0.685421
沖縄県,2025,8687,3635,5052,844,-4208,0.581559
