prefecture,year,graduates,university,senmon,senshu_general,training,employed,other,unknown,university_rate,employed_rate
北海道,2015,43567,18455,10344,1338,301,10506,2612,11,0.4236,0.241146
青森県,2015,12547,5522,1822,410,239,4086,464,4,0.440105,0.325656
岩手県,2015,11705,4993,2336,329,163,3607,274,3,0.42657,0.308159
宮城県,2015,19825,9671,3279,1081,240,4949,598,7,0.487818,0.249634
秋田県,2015,8899,3953,1540,357,66,2650,333,0,0.444207,0.297786
山形県,2015,10632,4794,1952,377,192,3160,156,1,0.450903,0.297216
福島県,2015,17847,7901,3496,593,134,5306,417,0,0.442707,0.297305
茨城県,2015,25563,12699,4826,1140,229,5745,923,1,0.496773,0.224739
栃木県,2015,17491,9099,3055,354,174,3960,839,10,0.52021,0.226402
群馬県,2015,17441,9087,3331,897,152,3500,472,2,0.521014,0.200677
埼玉県,2015,57093,32684,9906,3163,189,8845,2305,1,0.572469,0.154923
千葉県,2015,49065,27214,9064,3000,95,7173,2517,2,0.554652,0.146194
東京都,2015,100635,67207,11997,6234,313,7522,7344,18,0.667829,0.074745
神奈川県,2015,64590,39856,10656,2540,373,6213,4951,1,0.617061,0.096191
新潟県,2015,19873,9285,5263,550,220,4005,550,0,0.467217,0.20153
富山県,2015,9365,4870,1668,476,144,2100,107,0,0.520021,0.224239
石川県,2015,10314,5603,1512,336,81,2276,505,1,0.543242,0.220671
福井県,2015,7503,4147,1082,192,33,1833,214,2,0.552712,0.244302
山梨県,2015,8549,4877,1453,429,121,1529,140,0,0.570476,0.178851
長野県,2015,18887,9081,4197,1190,69,3575,772,3,0.480807,0.189284
岐阜県,2015,18477,10357,2556,664,105,4410,382,3,0.560535,0.238675
静岡県,2015,32404,17450,5296,979,160,7336,1181,2,0.538514,0.226392
愛知県,2015,63156,37139,8273,3480,104,12407,1749,4,0.588052,0.19645
三重県,2015,15988,8237,2255,618,141,4325,411,1,0.515199,0.270515
滋賀県,2015,12360,6865,2049,431,73,2478,463,1,0.555421,0.200485
京都府,2015,22966,15249,3155,1136,97,2204,1125,0,0.663982,0.095968
大阪府,2015,73852,43896,11155,4592,190,9739,4267,13,0.594378,0.131872
兵庫県,2015,45872,27886,6395,2817,132,6924,1637,81,0.607909,0.150942
奈良県,2015,11920,7152,1490,980,10,1478,810,0,0.6,0.123993
和歌山県,2015,9102,4333,1729,489,52,2074,425,0,0.476049,0.227862
鳥取県,2015,5055,2121,1005,473,42,1334,80,0,0.419585,0.263897
島根県,2015,6183,2862,1299,307,77,1452,185,1,0.462882,0.234837
岡山県,2015,17631,8936,3010,721,89,4201,671,3,0.506835,0.238273
広島県,2015,23758,14263,3329,1934,154,3667,410,1,0.600345,0.154348
山口県,2015,11384,4944,1897,790,79,3435,239,0,0.434294,0.301739
徳島県,2015,6455,3188,1168,294,66,1574,165,0,0.493881,0.243842
香川県,2015,8263,4226,1353,543,93,1751,293,4,0.511437,0.211909
愛媛県,2015,11462,5959,2196,539,40,2567,161,0,0.519892,0.223957
高知県,2015,6299,2954,1207,604,67,1217,249,1,0.468963,0.193205
福岡県,2015,41993,22797,6388,2992,167,7897,1726,26,0.542876,0.188055
佐賀県,2015,8239,3581,1446,503,48,2542,119,0,0.43464,0.308533
長崎県,2015,12924,5334,2526,587,165,3978,334,0,0.412721,0.307799
熊本県,2015,15911,7253,2877,1112,86,4180,403,0,0.455848,0.262711
大分県,2015,10517,4943,2211,302,76,2799,177,9,0.470001,0.266141
宮崎県,2015,10716,4670,1794,713,56,3238,236,9,0.435797,0.302165
鹿児島県,2015,15214,6417,3037,999,213,4238,310,0,0.421783,0.278559
沖縄県,2015,14884,5928,3952,405,266,2535,1795,3,0.39828,0.170317
